Hour_of_Day,Cash_Type,Money,Coffee_Name,Time_of_Day,Weekday,Month_name,Weekdaysort,Monthsort,Date,Time,Coffe_Percentage,is_weekend,is_Weekday
10,card,38.7,Latte,Morning,Friday,March,5,3,2024-03-01,10:15:50.520000,21.341979137299123,False,True
12,card,38.7,Hot Chocolate,Afternoon,Friday,March,5,3,2024-03-01,12:19:22.539000,7.78122356921342,False,True
12,card,38.7,Hot Chocolate,Afternoon,Friday,March,5,3,2024-03-01,12:20:18.089000,7.78122356921342,False,True
13,card,28.9,Americano,Afternoon,Friday,March,5,3,2024-03-01,13:46:33.006000,15.90076120665351,False,True
13,card,38.7,Latte,Afternoon,Friday,March,5,3,2024-03-01,13:48:14.626000,21.341979137299123,False,True
15,card,33.8,Americano with Milk,Afternoon,Friday,March,5,3,2024-03-01,15:39:47.726000,22.808006766281363,False,True
16,card,38.7,Hot Chocolate,Afternoon,Friday,March,5,3,2024-03-01,16:19:02.756000,7.78122356921342,False,True
18,card,33.8,Americano with Milk,Night,Friday,March,5,3,2024-03-01,18:39:03.580000,22.808006766281363,False,True
19,card,38.7,Cocoa,Night,Friday,March,5,3,2024-03-01,19:22:01.762000,6.73808852551452,False,True
19,card,33.8,Americano with Milk,Night,Friday,March,5,3,2024-03-01,19:23:15.887000,22.808006766281363,False,True
19,card,33.8,Americano with Milk,Night,Friday,March,5,3,2024-03-01,19:29:17.391000,22.808006766281363,False,True
10,card,28.9,Americano,Morning,Saturday,March,6,3,2024-03-02,10:22:06.957000,15.90076120665351,True,True
10,card,33.8,Americano with Milk,Morning,Saturday,March,6,3,2024-03-02,10:41:41.249000,22.808006766281363,True,True
11,card,33.8,Americano with Milk,Morning,Saturday,March,6,3,2024-03-02,11:59:45.484000,22.808006766281363,True,True
14,card,28.9,Americano,Afternoon,Saturday,March,6,3,2024-03-02,14:38:35.535000,15.90076120665351,True,True
16,card,33.8,Americano with Milk,Afternoon,Saturday,March,6,3,2024-03-02,16:37:24.475000,22.808006766281363,True,True
17,card,28.9,Americano,Night,Saturday,March,6,3,2024-03-02,17:34:54.969000,15.90076120665351,True,True
10,card,38.7,Latte,Morning,Sunday,March,7,3,2024-03-03,10:27:18.561000,21.341979137299123,True,True
11,card,28.9,Cortado,Morning,Sunday,March,7,3,2024-03-03,11:33:56.118000,8.091344798421202,True,True
12,card,28.9,Americano,Afternoon,Sunday,March,7,3,2024-03-03,12:26:56.098000,15.90076120665351,True,True
13,card,38.7,Hot Chocolate,Afternoon,Sunday,March,7,3,2024-03-03,13:09:36.321000,7.78122356921342,True,True
17,card,38.7,Cocoa,Night,Sunday,March,7,3,2024-03-03,17:06:40.271000,6.73808852551452,True,True
17,card,28.9,Cortado,Night,Sunday,March,7,3,2024-03-03,17:08:45.895000,8.091344798421202,True,True
18,card,33.8,Americano with Milk,Night,Sunday,March,7,3,2024-03-03,18:03:23.369000,22.808006766281363,True,True
18,card,33.8,Americano with Milk,Night,Sunday,March,7,3,2024-03-03,18:04:27.946000,22.808006766281363,True,True
18,card,38.7,Hot Chocolate,Night,Sunday,March,7,3,2024-03-03,18:08:04.959000,7.78122356921342,True,True
10,card,38.7,Latte,Morning,Monday,March,1,3,2024-03-04,10:03:51.994000,21.341979137299123,False,True
10,card,38.7,Latte,Morning,Monday,March,1,3,2024-03-04,10:54:50.958000,21.341979137299123,False,True
11,card,33.8,Americano with Milk,Morning,Monday,March,1,3,2024-03-04,11:05:16.184000,22.808006766281363,False,True
14,card,24.0,Espresso,Afternoon,Monday,March,1,3,2024-03-04,14:04:37.734000,3.636876233436707,False,True
9,card,38.7,Latte,Morning,Tuesday,March,2,3,2024-03-05,09:59:52.651000,21.341979137299123,False,True
14,card,38.7,Latte,Afternoon,Tuesday,March,2,3,2024-03-05,14:34:55.963000,21.341979137299123,False,True
17,card,38.7,Latte,Night,Tuesday,March,2,3,2024-03-05,17:34:06.043000,21.341979137299123,False,True
17,card,38.7,Hot Chocolate,Night,Tuesday,March,2,3,2024-03-05,17:35:25.021000,7.78122356921342,False,True
17,card,38.7,Cocoa,Night,Tuesday,March,2,3,2024-03-05,17:36:28.571000,6.73808852551452,False,True
17,card,38.7,Hot Chocolate,Night,Tuesday,March,2,3,2024-03-05,17:37:13.659000,7.78122356921342,False,True
17,card,38.7,Hot Chocolate,Night,Tuesday,March,2,3,2024-03-05,17:38:09.354000,7.78122356921342,False,True
17,card,28.9,Cortado,Night,Tuesday,March,2,3,2024-03-05,17:56:15.776000,8.091344798421202,False,True
18,card,38.7,Hot Chocolate,Night,Tuesday,March,2,3,2024-03-05,18:01:31.242000,7.78122356921342,False,True
13,card,28.9,Americano,Afternoon,Wednesday,March,3,3,2024-03-06,13:24:07.667000,15.90076120665351,False,True
13,card,28.9,Cortado,Afternoon,Wednesday,March,3,3,2024-03-06,13:25:14.351000,8.091344798421202,False,True
14,card,38.7,Cappuccino,Afternoon,Wednesday,March,3,3,2024-03-06,14:52:01.761000,13.701719763180154,False,True
14,card,38.7,Cappuccino,Afternoon,Wednesday,March,3,3,2024-03-06,14:53:18.344000,13.701719763180154,False,True
10,card,38.7,Hot Chocolate,Morning,Thursday,March,4,3,2024-03-07,10:18:40.543000,7.78122356921342,False,True
11,card,38.7,Latte,Morning,Thursday,March,4,3,2024-03-07,11:03:58.976000,21.341979137299123,False,True
15,card,28.9,Americano,Afternoon,Thursday,March,4,3,2024-03-07,15:40:22.606000,15.90076120665351,False,True
15,card,33.8,Americano with Milk,Afternoon,Thursday,March,4,3,2024-03-07,15:41:28.784000,22.808006766281363,False,True
10,card,28.9,Cortado,Morning,Friday,March,5,3,2024-03-08,10:34:41.283000,8.091344798421202,False,True
12,card,38.7,Cappuccino,Afternoon,Friday,March,5,3,2024-03-08,12:22:28.653000,13.701719763180154,False,True
13,card,28.9,Americano,Afternoon,Friday,March,5,3,2024-03-08,13:53:02.042000,15.90076120665351,False,True
14,card,28.9,Americano,Afternoon,Friday,March,5,3,2024-03-08,14:44:12.686000,15.90076120665351,False,True
14,card,28.9,Americano,Afternoon,Friday,March,5,3,2024-03-08,14:45:11.048000,15.90076120665351,False,True
14,card,33.8,Americano with Milk,Afternoon,Friday,March,5,3,2024-03-08,14:46:11.155000,22.808006766281363,False,True
18,card,38.7,Latte,Night,Friday,March,5,3,2024-03-08,18:57:51.451000,21.341979137299123,False,True
18,card,38.7,Latte,Night,Friday,March,5,3,2024-03-08,18:59:24.941000,21.341979137299123,False,True
12,card,24.0,Espresso,Afternoon,Saturday,March,6,3,2024-03-09,12:05:15.559000,3.636876233436707,True,True
12,card,28.9,Americano,Afternoon,Saturday,March,6,3,2024-03-09,12:07:38.275000,15.90076120665351,True,True
12,card,38.7,Cappuccino,Afternoon,Saturday,March,6,3,2024-03-09,12:09:47.714000,13.701719763180154,True,True
12,card,28.9,Americano,Afternoon,Saturday,March,6,3,2024-03-09,12:13:03.521000,15.90076120665351,True,True
12,card,28.9,Americano,Afternoon,Saturday,March,6,3,2024-03-09,12:14:26.458000,15.90076120665351,True,True
13,card,38.7,Latte,Afternoon,Saturday,March,6,3,2024-03-09,13:09:22.229000,21.341979137299123,True,True
13,card,33.8,Americano with Milk,Afternoon,Saturday,March,6,3,2024-03-09,13:41:06.167000,22.808006766281363,True,True
13,card,28.9,Cortado,Afternoon,Saturday,March,6,3,2024-03-09,13:53:10.408000,8.091344798421202,True,True
13,card,38.7,Cappuccino,Afternoon,Saturday,March,6,3,2024-03-09,13:54:36.828000,13.701719763180154,True,True
14,card,33.8,Americano with Milk,Afternoon,Saturday,March,6,3,2024-03-09,14:08:01.829000,22.808006766281363,True,True
14,card,38.7,Hot Chocolate,Afternoon,Saturday,March,6,3,2024-03-09,14:26:52.873000,7.78122356921342,True,True
19,card,38.7,Cappuccino,Night,Saturday,March,6,3,2024-03-09,19:17:57.572000,13.701719763180154,True,True
19,card,38.7,Hot Chocolate,Night,Saturday,March,6,3,2024-03-09,19:19:10.084000,7.78122356921342,True,True
11,card,24.0,Espresso,Morning,Sunday,March,7,3,2024-03-10,11:19:20.764000,3.636876233436707,True,True
19,card,38.7,Latte,Night,Sunday,March,7,3,2024-03-10,19:34:00.478000,21.341979137299123,True,True
19,card,28.9,Cortado,Night,Sunday,March,7,3,2024-03-10,19:35:54.712000,8.091344798421202,True,True
11,card,38.7,Cappuccino,Morning,Monday,March,1,3,2024-03-11,11:32:58.781000,13.701719763180154,False,True
